index,label,sentence
0,0,opinions among many users regarding different topics on social media.
1,0,public opinions on social media.
2,0,Twitter Data maintained by Apache Lucene
3,0,"collect, maintain, and process tweets from Twitter."
4,0,an index of the tweets and users collected from Twitter
5,0,"Sentiment SpecificWord Embedding (SSWE) to extract opinion information for each tweet. SSWE extracts an opinion of a tweet and assigns it a real value that ranges from  1 to 1, which represents “most negative” to “most positive”. Values close to 0 mean “neutral”"
6,0,The diffusion modeling component employs a diffusion model to approximate the diffusion among users between the successive time stamps in every topic.
7,0,"hierarchical structure of the topics, an opinion flow map, and a user/tweet list view for detailed examination."
8,0,"The data sets contained information on the 2013 US government shut down (7,734,728 tweets from June 1, 2013 to November 16, 2013), the NSA’s PRISM program (5,335,830 tweets from June 1, 2013 to November 16, 2013), and an IT company (1,564,487 tweets about Microsoft from April 1, 2013 to July 10, 2013) using related keywords and hashtags such as “#shutdown”, “#prism”, and ”Microsoft”"
9,0,"Microblogging communities, such as Twitter, are increasingly used as digital backchannels for timely exchange of brief comments and impressions during political speeches, sport competitions, natural disasters, and other large events."
10,0,representing topical development
11,0,"the activity of participants,"
12,0,shared photos.
13,0,"main topics, most active participants, and most popular images"
14,0,current activity by being able to review recent developments.
15,0,"Considering that events may last from minutes to several weeks, the interface should provide flexible methods"
16,0,the topics and the participants of the backchannel
17,0,individual participants
18,0,topical development over time.
19,0,"topics and participants, and entering search terms."
20,0,"to provide organically evolving representations of a constantly changing data set, and interactive access to the temporal distribution of topics, the most active participants, and salient photographic impressions."
21,0,microblogging community Twitter as a widely used backchannel platform.
22,0,build on Twitter
23,0,"we focus on a tweet’s author, timestamp, and text."
24,0,"with the timestamp, to indicate its topical evolution."
25,0,"contain links to images,"
26,0,"whether a tweet is a quotation by somebody else, namely a re tweet,"
27,0,"Twitter community is to add so called hashtags—tags preceded by a hash sign—that are intended to associate a tweet with certain places, topics, or events"
28,0,we treat hashtags as words.
29,0,temporal spikes and periods of low activity
30,0,"we extract event photos that are typically associated with tweets as links to image services, such as Twitpic. We determine whether a post is a re tweet quoted from somebody else by looking for substrings of RT."
31,0,"we aggregate large numbers of tweets,"
32,0,"time of publication, full original text, extracted topics (word stems), author name, image link, and whether it is a re tweet."
33,0,large collections of text conversations
34,0,"anger, surprise, and excitement, our paper uses only a pleasure emotion."
35,0,raw text of a conversation and derived properties
36,0,"transcripts, social media, or customer service sessions"
37,0,"SAS’s Live Chat group. This allowed us access to real chat conversations and interaction with chat agents and managers to construct, refine, and evaluate our visualization designs."
38,0,summarized using semantic keywords.
39,0,SAS’s chat datasets
40,0,sentence or paragraph
41,0,Multi item Data Streams
42,0,Time Feature
43,0,Multiple Items
44,0,items occurring in the streams
45,0,the streams having the same positions along the time or in the sequence.
46,0,"A data stream is an ordered collection of data records in which each record refers to a time moment or a position (step) in a sequence. In our research, we consider data streams in which data records include or refer to multiple different items (entities of any nature), denoted by their labels. Apart from the temporal or sequential references and labeled items, data in the streams may include other components. We shall refer to them as attributes."
47,0,"In social media, the comparison target can be text streams, such as a series of tweets, produced by different users. The items in these streams are meaningful keywords used in the texts. One can select different sub streams of these streams for comparison based on attributes of the data, such as text topic, or location from which the messages were posted, or the time of the day when the texts were produced."
48,0,"target is the sequences of the actions and events that happened under the ball possession by the two teams. The items are the players, the actions performed by them, and events like goal or foul."
49,0,"depicting local trends, increase or decrease."
50,0,Visualizing and comparing numeric dynamic features of two streams.
51,0,Personal Chat History
52,0,instant messaging
53,0,instant messaging data
54,0,"well suited for casual conversations where people use single words, sentence snippets and complete each other’s phrases."
55,0,visualize one’s personal chat history
56,0,"While CrystalChat currently uses history log data from MSN Messenger, the visualization structure can easily be applied to other instant messaging systems."
57,0,Chat messages are received in real time and these text messages are then stored in history log files that are ordered consecutively according to when the text message was received and written.
58,0,Social Media
59,0,"For example, the US presidential election debates in 2012 triggered a series of arguments because of the different political views of two parties."
60,0,"It attracted great attention of the public, leading to heated discussions on Twitter."
61,0,"On social media sites, some people show their support by expressing positive comments on certain persons or events, while others may attack their opponents with negative words."
62,0,"to highlight three major factors of the divergence: who—the social groups involved, when—the time evolving sentiment trends of social groups, and why—the summarized conversations related to the evolutions of the sentiments, providing the context."
63,0,We first estimate sentiments of individual users at each timestamp.
64,0,"Then, a hierarchical clustering is performed to group users based on their sentiment trends over time."
65,0,a sentiment divergence during the US presidential election.
66,0,"SocialHelix based on the social media platform, Twitter."
67,0,"social campaign on Twitter regarding the US presidential debate on October 3, 2012."
68,0,sentiment divergence processes on social media
69,0,distinctive sentiments from a pair of social groups and represent the groupstime evolving sentiments
70,0,A series of conversations corresponding to the evolution of sentiments
71,0,providing a summary of the focused event context.
72,0,from the rich and massive social media data.
73,0,Social Media
74,0,2012 U.S. presidential election
75,0,a set of concurrent topics on social media
76,0,"by depicting how different groups of influential users (i.e., “topic leaders”) affect coopetition."
77,0,dynamic and a fundamentally distinctive topic behavior
78,0,dynamic and multidimensional data with special features by measuring competition and cooperation powers
79,0,"opinion leaders, namely, single topic, multi topic, and no focused leaders."
80,0,three groups of leaders
81,0,using two large scale social media data sets that cover the areas of business and politics
82,0,the number of tweets forwarded
83,0,"We use information on topic publics to identify three types of opinion leaders, namely, topic leaders, which are described below."
84,0,"Single topic leaders are the most active, popular, and influentia members of the single topic publics who focus on one topic exclusively"
85,0,"Multi topic leaders are the most active, popular, and influentia members of the multi topic publics, and simultaneously attend to several topics."
86,0,"No focused leaders are the most active, popular, and influentia members of the non focus publics, and are concerned about nearly all topics, which is essentially the same as a lack of focal topics."
87,0,competitive relationships among different topics during the 2012 US presidential election
88,0,breaking news events
89,0,large scale broadcast news video collections
90,0,thematic changes of the news 
91,0,large broadcast video collections
92,0,important news stories
93,0,The data collected includes video/audio content as well as closed caption text when available.
94,0,video + audio + caption + segmentation data
95,0,news reporting
96,0,news reporting
97,0,One can use all this to effectively visualize the daily flow of the top or most interesting stories
98,0,NewsRiver adopts an unstructured approach the news topics.
99,0,flow of the top or most inter esting stories
100,0,news topics
101,0,the news topics
102,0,the most prominent stories in that period
103,0,rapid propagation of rumours in Online Social Networks
104,0,user actions
105,0,reveal rumour contents and participants' activity
106,0,"rumour strength, rumour contents, user participation"
107,0,spread in uncertain situations and arose
108,0,Online Social Networks (OSNs)
109,0,"breaking news, sport events, fashion trends as well as rumours"
110,0,in Reddit.
111,0,"A single original social media post can cause large cascades of repostings (i.e., retweets) on online networks, involving thousands, even millions of people with different opinions"
112,0,a large number of information repostings with semantics
113,0,"The data in this study are taken from Sina Weibo, a social media platform like Twitter that is widely used in China"
114,0,Root user is the creator of the original weibo
115,0,Comments are added by social media users to give their opinions on the reposted weibo
116,0,Key players are social media users who create large scale repostings to the original weibo.
117,0,Key players should be differentiated from ordinary users (D2). We need to reveal users’ sentiments and opinions of their messages in the diffusion process
118,0,"The topics and the sentiments of users may vary at different stages. The messages of key players can create new opinions or topics, and may have a strong influence on the overall event"
119,0,"These features include the delay time (F1) from the original weibo, the relation with the parent node (F2), the numbers of direct repostings (F3) and total repostings (F4), and the numbers of followers (F5) and followees ("
120,0,a list of all weibos
121,0,reposting time
122,0,total time of the reposting process
123,0,real data from Sina Weibo
124,0,usage data for Times stories
125,0,cascade
126,0,the chain of events that propels a story through and around social networks
127,0,lets you visualize a cascade as a comprehensive unit
128,0,most influential tweets
129,0,the users who posted them
130,0,retweets
131,0,the famous people
132,0,retweets activity
133,0,interest groups
134,0,a data set of Times articles
135,0,a story’s sharing
136,0,"After extracting a set of topics and representing the texts by vectors of topic weights, we aggregate the data into a data cube with the dimensions corresponding to the set of topics, the set of spatial locations (e.g., regions), and the time divided into suitable intervals according to the scale of the planned analysis."
137,0,geolocated social media posts
138,0,"In this structure, three dimensions correspond to (1) semantic categories, or topics, (2) locations (which may be regions in space), and (3) times (which may be time intervals)."
139,0,geolocated Twitter data
140,0,We assume that text semantics can be characterized using a finite set of topics (themes) of interest.
141,0,We shall call this number topic weight.
142,0,"A topic is defined as a probability distribution over a given vocabulary, i.e., a set of keywords, where keywords with high probabilities represent the semantic content of the topic."
143,0,Table 1 shows representative keywords of topics extracted from a dataset of tweets related to Brexit that were posted in Britain from March 2016 to October 2017.
144,0,We therefore aggregate messages that not only have common hashtags but also have close times of posting.
145,0,"The temporal domain is partitioned into suitable intervals. It is desirable to define the intervals based on calendar units, such as months, weeks, or days, or, when a finer temporal granularity is needed, hours of the day."
146,0,brand perceptions on social media
147,0,"two brands “Disney” and “Boeing”, each illustrates a brand’s perceived personality (in 5 broad traits or 42 subtraits) with visual evidence and related details from three social media factors."
148,0,the similarities and differences of two brands in their perceived personalities and topic discussions on social media.
149,0,"While social media has demonstrated a huge potential to shape public perceptions of brands, existing tools are not intuitive and explanatory for domain users to use as they fail to provide a comprehensive analysis framework for perceptions of brands."
150,0,"brand personality framework in marketing literature and social computing approaches to compute the personality of brands from three driving factors (user imagery, employee imagery, and official announcement) on social media"
151,0,"to assess brand personality from three driving factors of user imagery, employee imagery and official announcement on social media, and construct an evidence data explaining the association between brand personality and its driving factors."
152,0,"Sincerity, Excitement, Competence, Sophistication and Ruggedness"
153,0,User Imagery are human characteristics associated with a brand’s typical users. Employee Imagery are human characteristics associated with the employees of a company.
154,0,"The data collection and preprocessing module collects and stores the online social media text documents such as tweets, online reviews, and user profiles to account for three facets of linguistic footprints that drive perceptions of brand personality on social media."
155,0,"For each brand, we collected its followers’ self description on Twitter, which is a short description in a follower’s public profile. Overall, we obtained 1,996,214 brand follower descriptions"
156,0,Twitter regarding a recent 6.8 magnitude earthquake and a series of aftershocks and tsunamis that hit the northern coast of Hokkaido island
157,0,"we summarize the collective responses of communities on a given topic based on how tweets were retweeted by groups of users, through representing the sentiments extracted from the tweets, and tracing the pathways of retweets on a spatial hierarchical layout."
158,0,A focused diffusion series highlights key roles such as opinion leaders in the diffusion process.
159,0,"opinion leaders refer to a small minority of people who bridge media and common users and determine the ways (positive/ negative, fast/slow, and far/near) in which information is propagated."
160,0,"tweets are visually classified into two categories, the tweets from media broadcasters and opinion leaders, and the tweets from other users."
161,0,US presidential primaries of the Republican Party.
162,0,Sentiments in Business  Customer Relations
163,0,"bank related data of over 25,000 online posts pertaining to any of the five major Canadian banks' names."
164,0,visualizing opinions and sentiments on banks
165,0,online posts regarding the five banks.
166,0,the financial market as banks share the same large pool of users
167,0,"divided among five banks, with each bank’s share further subdivided by its volume of sentiments."
168,0,sentiments around a wheel that is divided among the five banks.
169,0,hotel customers sharing their opinions
170,0,online hotel customer reviews
171,0,The system is built on a new visualization centric opinion mining technique that considers uncertainty for faithfully modeling and analyzing customer opinions
172,0,Aside from data on hotel customer feedback
173,0,OpinionSeer could also be applied to visually analyze customer opinions on other products or services.
174,0,we focus on the visual analysis of online hotel customer 
175,0,"First, collected opinion data are high dimensional and heterogeneous data with structured category dimensions and unstructured review comments, posing a challenge to analysis and visualization."
176,0,"Thus, hotel customer reviews from TripAdvisor are selected as our data samples for our system. The data we obtained from TripAdvisor can be divided into three parts: hotel data, customer data, and review data the review data include review information such as detailed free text comments and the review sentiments estimated by our approach."
177,0,The input of the system is a set of online customer reviews from TripAdvisor.com.
178,0,"It accounts for the ambiguity of human language when analyzing the sentiments of the customer reviews. Thus, in addition to general positive and negative values, the extracted opinions also explicitly contain the uncertainty values to indicate the amount of ambiguous information."
179,0,The collected customer reviews contain customer ratings about the hotels.
180,0,"In this article we present a visual analytics system for news streams which can bring multiple attributes of the news articles and the macro/micro relations between news streams and keywords into one coherent analytical context, all the while conveying the dynamic natures of news streams."
181,0,"a 1.5 gigabyte corpus of 333,289 news articles published between 2004 and 2006, with an interesting pedigree"
182,0,Danmu Data
183,0,an input video augmented with danmu commentary data
184,0,The overall summary of different video sessions
185,0,the corresponding danmu messages
186,0,"danmu, which allows viewers to post livecomments asynchronously while watching a video."
187,0,The danmu data reveals viewersinstant thoughts and feelings that usually coincide with a specific video scene. 
188,0,"Content and service providers, as well as analysts can leverage such information to better summarize the content, characteristics, and potential values of the online videos."
189,0,"visual data from a video and textual data from danmu comments, to guide the selection of essential video scenes"
190,0,multi variate time series data and streaming data
191,0,multivariate time series data
192,0,Visualizing streaming data
193,0,the danmu commen tary data.
194,0,we extract visual features from the key frames obtained from the raw video stream.
195,0,"each comment's physical and video time stamps, position on screen, font size and color, content, visual effect, and poster ID"
196,0,users based on their past interactions
197,0,user's interaction history
198,0,one's past interactions
199,0,A data portrait is a visualization of the user based on his/her data objects.
200,0,"Possible attributes for data objects such as messages include time of creation, size, addressee, whether an initial message or a response, or number of responses from others."
201,0,user's own posting pattern
202,0,amount of feedback from other users of the board
203,0,a user's data objects are the set of all the messages posted by him/her.
204,0,the data objects are the messages sent by each user.
205,0,these portraits are based on real interaction history.
206,0,one's past interactions
207,0,"Possible attributes for data objects such as messages include time of creation, size, addressee, whether an initial message or a response, or number of responses from others."
208,0,"Over time, a user's portrait changes based on his changing interaction"
209,0,these portraits are based on real interaction history.
210,0,user's own posting pattern
211,0,amount of feedback from other users of the board
212,0,Initial response
213,1,Visual Analysis of Opinion Diffusion on Social Media
214,1,to analyze and explore the diffusion of public opinions on social media.
215,1,to detect opinion propagation patterns and glean insights.
216,1,we develop an opinion diffusion model to approximate opinion propagation among Twitter users.
217,1,detecting and analyzing opinion diffusion and understanding the mechanism behind the diffusion
218,1,to visually trace and analyze the diffusion of opinions on social media in large scale events.
219,1,summarizing the propagation of opinions.
220,1,"flow of users among different topics in an event over time, which provides necessary context for opinion diffusion analysis."
221,1,an interactive visual analysis system to empower an analyst to see the overall opinion pattern at different topic levels and drill down into the details to examine specific patterns.
222,1,ThemeRiver view to explore temporal changes of topics.
223,1,concentrates on diffusion of opinions
224,1,Summarize dynamic opinion diffusion.
225,1,an overview of opinion propagation is essential for them to begin their investigation and analysis.
226,1,"As a large scale event usually include many topics, the domain experts want to see and compare the opinion diffusion among users in different topics over time."
227,1,"the main topics, opinion diffusion within each topic, and user transition behavior should be visually conveyed in the overview."
228,1,way of following and exploring online conversations about large scale events.
229,1,to adequately represent the scale and dynamics of real time conversations.
230,1,"saliency and visual evidence of what is happening now, and what is recent within the ongoing temporal context of how backchannel conversations unfold over time."
231,1,"summarize the main facets of large scale backchannels and provide exploratory interactivity along time, topics, and people in the context"
232,1,"exploring the problem space around digital backchannels as socially significant information spaces during events,"
233,1,What are the main topics right now? How are topics changing over time? Who are the most active participants? What are certain participants talking about?
234,1,Summarize the conversation.
235,1,"A Visual Backchannel should include views that summarize the topical, social, and pictorial aspects of backchannel conversations, decreasing the cognitive effort required to follow a backchannel."
236,1,for modifying the time window under exploration.
237,1,Allow for topical and social exploration
238,1,"(1) in a streamgraph topic overview for a user specified time period; (2) as emotion patterns for a topic chosen from the streamgraph; (3) as semantic sequences for a user selected emotion pattern,"
239,1,highlight and summarize patterns in large text conversations
240,1,"Develop methods to summarize conversations at different levels of detail, including topics, emotion (sentiment) patterns, and semantic sequences."
241,1,"sets of conversations forming topics, estimated emotion for both individual conversations and topic sets, and semantic summaries of emotion blocks within a conversation."
242,1,where exploration of the conversations’ meaning and emotional affect provides insight over raw text alone.
243,1,overview of conversations for a user chosen time period
244,1,"to explore and analyse large, text based conversation collections"
245,1,build emotion patterns for a conversation
246,1,identifying semantic and emotion patterns in chats related to a topic of interest
247,1,determining whether certain subtopics had significant activity
248,1,identifying chats with similar semantic patterns
249,1,text clustering to subdivide a conversation set into topics
250,1,Pair wise Visual Connection and Comparison
251,1,Comparison is an important and general task in data analysis.
252,1,Our research goal is to provide a general solution supporting pair wise comparison of multi item data streams in terms of the involvement of different items along time.
253,1,pair wise visual connection and comparison of multi item data streams
254,1,both qualitative and quantitative comparisons
255,1,"Comparison of data stream dynamics: Compare the temporal or sequential patterns of data streams, focusing on the numerical trends at different levels of granularity."
256,1,"Comparison of items: Provide qualitative comparison (common or distinct) and quantitative comparison (relative frequencies, absolute amounts, etc.) of the items in the streams."
257,1,Comparison of comparisons: Compare overall similarity difference patterns and numeric trends of different pairs of sub streams.
258,1,"Comparison of sub stream pairs, which requires a compact representation of the similarities and differences and their dynamics in each pair."
259,1,Users obtain an abstracted visual summary of dynamic similarity difference patterns of a pair of data streams. Summaries for different sub stream pairs can be compared.
260,1,supporting comparison of two streams
261,1,We need to make connections between corresponding parts of the two streams for presenting their similarities and differences regarding the items involved.
262,1,Qualitative comparison of the presence of items in the two streams is supported by showing the item labels.
263,1,"For a more detailed exploration, users need to select subsets of the data, further referred to as sub streams."
264,1,"Co Bridges, users can observe the overall temporal pattern by scanning sequentially along the river direction."
265,1,we explore social and temporal interactions in
266,1,reveals the patterns in an individual’s communications with those people who are part of their personal chat history.
267,1,"temporal clustering, conversation initiation, conversation termination, length of conversations, length of postings, patterns of repetitive or alternating postings, and emotional tone"
268,1,trace information
269,1,"Social media allow people to express and promote different opinions, on which people sentiments to a subject often diverge when their opinions conflict."
270,1,"SocialHelix is a novel visual design which enables the users to detect and trace topics and events occurring in social media, and to understand when and why divergences occurred and how they evolved among different social groups."
271,1,to recognize a sentiment divergence and trace the different sentiment divergence processes in social media.
272,1,visual analysis of sentiment divergence
273,1,To help understand such a social temporal process
274,1,to effectively compare communities’ sentiment evolution trends such as divergences and co occurrences in pair.
275,1,indicating how the communities respond to these events over time.
276,1,the first approach that is designed to analyze and visually unfold the dynamics of the sentiment divergence processes in both the social and temporal domain.
277,1,when and why sentiment divergences occurred and how they evolved among different social groups.
278,1,for exploring the process of a sentiment divergence trend of users
279,1,detect and trace social divergences
280,1,When does a divergence start and end? How does it evolve?
281,1,Tracing the evolution trend of users’ opinions helps with the divergence detection and showing an overall view facilitates the data interpretation and comparison.
282,1,Who are involved in each divergence side? What roles do they play?
283,1,Understanding their roles and separating them into groups will help identify general patterns of user behaviors and detect anomalies.
284,1,Why does a divergence occur?
285,1,Understanding the reasons of a divergence is the most important task in the social divergence analysis.
286,1,The visualization should be able to reveal temporal data patterns that represent the complete process of a social divergence.
287,1,Visual Analysis of Topic Coopetition
288,1,Topic coopetition dynamics
289,1,showing most of the topics were transiting from competition to cooperation during that time;
290,1,unfold their coopetition power
291,1,Cooperation and competition (jointly called “coopetition”)
292,1,How do topics cooperate or compete with each other to gain public attention?
293,1,Which topics tend to cooperate or compete with one another?
294,1,Who plays the key role in coopetition related interactions?
295,1,"This model provides a close functional approximation of the coopetition process by depicting how different groups of influential users (i.e., “topic leaders”) affect coopetition."
296,1,"to explore coopetition related interactions and to detect dynamically evolving patterns, as well as their major causes"
297,1,assist analysts in exploring and analyzing the dynamics of coopetition among multiple topics
298,1,the identification of opinion leaders
299,1,EvoRiver supports visual exploration and sense making through a rich set of user interactions
300,1,quantitatively characterize the dynamic topic coopetition related interactions
301,1,the complex dynamics of topic competition related interactions on social media
302,1,insights into the dynamics of topic coopetition and the influence of topic leaders
303,1,temporal relationships among topics
304,1,"positive or a negative coopetition power at each time stamp,"
305,1,how competitive/cooperative the topic is in recruiting attention from the public
306,1,comparison among n topic leader groups within each topic
307,1,Who plays the key role in various coopetition related interactions?
308,1,Summarize dynamic topic coopetition.
309,1,Exploratory Broadcast News Video Analysis
310,1,an exploratory visualization approach for the analysis of large scale broadcast news video collections containing many thousands of news stories over extended periods of time.
311,1,"Our case studies show how this set of tools can be used to find emerging topics in the news, compare different broadcasters, or mine the news for topics of interest."
312,1,effective visual exploration and analysis of large broadcast video collections
313,1,provide a preprocessing/analysis mechanism of the entire news dataset to help cope with massive data
314,1,provide a visual overview of all important news stories
315,1,"provide a mechanism to zoom, filter out common sense, uninteresting, knowledge from the news collection, and retain the news stories of potential interest to the user for further interactive analysis and explora"
316,1,"provide support for the management, recall, and exchange of findings, e.g. news stories for repeated usage, sharing, or collaborative analysis."
317,1,"Thus the visual analysis goes well beyond the interestingness criterion above, and it becomes possible to tell when and how often topics or keywords have appeared in the news. It is also possible to look at distribution patterns and correlation between topics over time."
318,1,"The tasks include overall awareness of topics discussed in the news and hot topic detection, comparing and contrasting what is being discussed locall and nationally, study of differing opinions on events from differen news sources, and searching for news on well identified topics of iinterest."
319,1,What is being discussed in the news?
320,1,What are the most prominent topics?
321,1,Which topics are emerging and can they be associated with events in the world or in the community? which are fading away?
322,1,"What do the media reprot concerning such and event, person, location, time?"
323,1,Visual Analysis of Rumour Flow and User Activity
324,1,"identifying and understanding characteristic patterns, evolution and user behaviours behind this activity is essential."
325,1,analysing rumours and activities of players in their propagation
326,1,to explore rumour components
327,1,for understanding and analyzing how rumours are disseminated and discussed by OSN users.
328,1,Topics about a rumour evolve over time.
329,1,RumourFlow is the first visual analytics system for exploring rumour spread with regards to topic flow and user interaction in social media derived from social science theories.
330,1,how rumours evolve and spread in term of topics and user activities
331,1,text semantic similarity
332,1,explores two sources of information
333,1,to support interactive exploration and analysis of the information reposting process in social media
334,1,a node represents a message and a link represents the reposting relation.
335,1,R Map supports a scalable overview of a large number of information repostings with semantics. Additional interactions on the map are provided to support the investigation of temporal patterns and user behaviors in the information diffusion process.
336,1,reveal the reposting pattern of an original message in a spatial context
